Cat No    Artist                               Title                                       Format        | Apollo status
MR-2008   Operator Generator                   Polar Fleet                                 CD            | no artist
MR-2009   MISSING                              ---                                         ---           | ---
MR-2010   Dozer                                Madre de Dios                               CD            | no
MR-2011   MISSING                              ---                                         ---           | ---
MR-2012   Beaver                               Mobile                                      CD            | no artist
MR-2013   MISSING                              ---                                         ---           | ---
MR-2014   MISSING                              ---                                         ---           | ---
MR-2015   Backbiter/Elope                      Split                                       CD            | no artist
MR-2016   Acid King/                           Split CD                                    ---           | ---
          The Mystick Krewe of Clearlight                                                                |  
MR-2017   MISSING                              ---                                         ---           | ---
MR-2018   Suplecs                              Sad Songs... Better Days                    CD            | https://apollo.rip/torrents.php?id=88927
MR-2019   Trailer Hitch                        Truth Is Fighting                           CD            | no artist
MR-2020   Altamont                             Our Darling                                 CD            | https://apollo.rip/torrents.php?id=162686
MR-2021   MISSING                              ---                                         ---           | ---
MR-2022   MISSING                              ---                                         ---           | ---
MR-2023   Bottom                               Feels So Good When You're Gone              CD            | no artist
MR-2024   Begotten                             Begotten                                    CD            | no
